GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,player_id,player_name
Shot Chart Detail,0022000005,92,1630173,Precious Achiuwa,1610612748,Miami Heat,1,3,40,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,16,1,1,20201225,MIA,NOP,1630173,Precious Achiuwa
Shot Chart Detail,0022000005,226,1630173,Precious Achiuwa,1610612748,Miami Heat,2,6,4,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,55,16,1,0,20201225,MIA,NOP,1630173,Precious Achiuwa
Shot Chart Detail,0022000005,393,1630173,Precious Achiuwa,1610612748,Miami Heat,3,6,1,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,-9,1,0,20201225,MIA,NOP,1630173,Precious Achiuwa
Shot Chart Detail,0022000005,402,1630173,Precious Achiuwa,1610612748,Miami Heat,3,5,32,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,12,1,1,20201225,MIA,NOP,1630173,Precious Achiuwa
Shot Chart Detail,0022000005,412,1630173,Precious Achiuwa,1610612748,Miami Heat,3,4,59,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,17,1,1,20201225,MIA,NOP,1630173,Precious Achiuwa
Shot Chart Detail,0022000005,624,1630173,Precious Achiuwa,1610612748,Miami Heat,4,3,15,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,13,1,1,20201225,MIA,NOP,1630173,Precious Achiuwa
Shot Chart Detail,0022000005,642,1630173,Precious Achiuwa,1610612748,Miami Heat,4,2,11,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,10,1,1,20201225,MIA,NOP,1630173,Precious Achiuwa
Shot Chart Detail,0022000012,131,1630173,Precious Achiuwa,1610612748,Miami Heat,1,2,13,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20201223,ORL,MIA,1630173,Precious Achiuwa
Shot Chart Detail,0022000012,140,1630173,Precious Achiuwa,1610612748,Miami Heat,1,0,57,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,24,20,1,1,20201223,ORL,MIA,1630173,Precious Achiuwa
Shot Chart Detail,0022000012,484,1630173,Precious Achiuwa,1610612748,Miami Heat,3,0,49,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,24,1,0,20201223,ORL,MIA,1630173,Precious Achiuwa
